name,company,year_num,car_age,price,kms_driven_num,fuel_type,price_segment,kms_segment,has_price
Mahindra Bolero DI,Mahindra,2017,9,180000,23452,Diesel,100k-300k,0-25k,True
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,12,385000,35522,Diesel,300k-500k,25k-50k,True
Mahindra Scorpio S10 4WD,Mahindra,2015,11,250000,48508,Diesel,100k-300k,25k-50k,True
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,9,180000,15487,Petrol,100k-300k,0-25k,True
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,13,105000,39000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,13,105000,39000,Petrol,100k-300k,25k-50k,True
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,14,650000,82000,Diesel,500k-800k,50k-100k,True
Renault Lodgy 85 PS RXL,Renault,2018,8,689999,20000,Diesel,500k-800k,0-25k,True
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,14,448000,68000,Diesel,300k-500k,50k-100k,True
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,9,549000,32000,Diesel,500k-800k,25k-50k,True
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,14,501000,38000,Diesel,500k-800k,25k-50k,True
Renault Duster 85 PS RxE Diesel,Renault,2013,13,489999,27000,Diesel,300k-500k,25k-50k,True
Honda City 1.5 S MT,Honda,2011,15,280000,33000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,11,250000,60000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Dzire,Maruti,2013,13,349999,46000,Diesel,300k-500k,25k-50k,True
Honda Amaze,Honda,2013,13,284999,46000,Diesel,100k-300k,25k-50k,True
Honda Amaze 1.5 SX i DTEC,Honda,2015,11,345000,36000,Diesel,300k-500k,25k-50k,True
Honda City,Honda,2015,11,499999,55000,Petrol,300k-500k,50k-100k,True
Datsun Redi GO S,Datsun,2017,9,235000,16000,Petrol,100k-300k,0-25k,True
Maruti Suzuki SX4 ZXI MT,Maruti,2010,16,249999,36000,Petrol,100k-300k,25k-50k,True
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,11,1475000,47000,Diesel,800k+,25k-50k,True
Mahindra Bolero DI,Mahindra,2017,9,180000,23452,Diesel,100k-300k,0-25k,True
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,12,385000,35522,Diesel,300k-500k,25k-50k,True
Mahindra Scorpio S10 4WD,Mahindra,2015,11,250000,48508,Diesel,100k-300k,25k-50k,True
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,9,180000,15487,Petrol,100k-300k,0-25k,True
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,13,105000,39000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,13,105000,39000,Petrol,100k-300k,25k-50k,True
Mahindra Scorpio S10,Mahindra,2015,11,395000,35000,Diesel,300k-500k,25k-50k,True
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,9,220000,30874,Petrol,100k-300k,25k-50k,True
Honda City ZX CVT,Honda,2017,9,170000,15000,Diesel,100k-300k,0-25k,True
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,13,85000,29685,Petrol,0-100k,25k-50k,True
Ford Figo,Ford,2012,14,175000,41000,Diesel,100k-300k,25k-50k,True
Hyundai Eon,Hyundai,2013,13,190000,25000,Petrol,100k-300k,25k-50k,True
Tata Indigo eCS LS CR4 BS IV,Tata,2017,9,200000,130000,Diesel,100k-300k,100k+,True
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,10,830000,24530,Diesel,800k+,0-25k,True
Tata Indigo eCS LS CR4 BS IV,Tata,2017,9,200000,130000,Diesel,100k-300k,100k+,True
Mahindra Scorpio SLE BS IV,Mahindra,2012,14,570000,19000,Diesel,500k-800k,0-25k,True
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,12,315000,60000,Petrol,300k-500k,50k-100k,True
Skoda Fabia Classic 1.2 MPI,Skoda,2010,16,182000,60000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Stingray VXi,Maruti,2015,11,315000,30000,Petrol,300k-500k,25k-50k,True
Chevrolet Spark LS 1.0,Chevrolet,2010,16,110000,41000,Petrol,100k-300k,25k-50k,True
Renault Duster 110PS Diesel RxZ,Renault,2012,14,501000,35000,Diesel,500k-800k,25k-50k,True
Honda City,Honda,2015,11,448999,54000,Petrol,300k-500k,50k-100k,True
Mini Cooper S 1.6,Mini,2013,13,1891111,13000,Petrol,800k+,0-25k,True
Datsun Redi GO S,Datsun,2017,9,235000,16000,Petrol,100k-300k,0-25k,True
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,15,159500,38200,Diesel,100k-300k,25k-50k,True
Honda Amaze,Honda,2015,11,344999,22000,Petrol,300k-500k,0-25k,True
Honda Amaze,Honda,2015,11,344999,22000,Petrol,300k-500k,0-25k,True
Renault Duster,Renault,2014,12,449999,50000,Diesel,300k-500k,50k-100k,True
Mini Cooper S 1.6,Mini,2013,13,1891111,13500,Petrol,800k+,0-25k,True
Mahindra Scorpio S4,Mahindra,2015,11,865000,30000,Diesel,800k+,25k-50k,True
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,12,699000,50000,Diesel,500k-800k,50k-100k,True
Mahindra Quanto C8,Mahindra,2013,13,375000,20000,Diesel,300k-500k,0-25k,True
Ford EcoSport,Ford,2017,9,489999,39000,Petrol,300k-500k,25k-50k,True
Honda Brio,Honda,2012,14,224999,30000,Petrol,100k-300k,25k-50k,True
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,7,1200000,3600,Diesel,800k+,0-25k,True
Hyundai i20 Magna,Hyundai,2009,17,195000,32000,Petrol,100k-300k,25k-50k,True
Toyota Corolla Altis Diesel D4DG,Toyota,2010,16,351000,38000,Diesel,300k-500k,25k-50k,True
Hyundai Verna Transform SX VTVT,Hyundai,2008,18,160000,45000,Petrol,100k-300k,25k-50k,True
Toyota Corolla Altis Petrol Ltd,Toyota,2009,17,240000,35000,Petrol,100k-300k,25k-50k,True
Honda City 1.5 EXi New,Honda,2005,21,90000,50000,Petrol,0-100k,50k-100k,True
Hyundai Elite i20 Magna 1.2,Hyundai,2014,12,415000,32000,Petrol,300k-500k,25k-50k,True
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,15,155000,45863,Diesel,100k-300k,25k-50k,True
BMW 3 Series 320i,BMW,2011,15,600000,60500,Petrol,500k-800k,50k-100k,True
Maruti Suzuki A Star Lxi,Maruti,2011,15,189500,12500,Petrol,100k-300k,0-25k,True
Toyota Etios GD,Toyota,2013,13,350000,60000,Diesel,300k-500k,50k-100k,True
Ford Figo Diesel EXI Option,Ford,2012,14,210000,35000,Diesel,100k-300k,25k-50k,True
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,12,390000,35000,Petrol,300k-500k,25k-50k,True
Chevrolet Beat LT Diesel,Chevrolet,2012,14,135000,45000,Diesel,100k-300k,25k-50k,True
BMW 7 Series 740Li Sedan,BMW,2009,17,1600000,35000,Petrol,800k+,25k-50k,True
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,13,701000,38000,Diesel,500k-800k,25k-50k,True
Hyundai i10 Magna 1.2,Hyundai,2014,12,265000,18000,Petrol,100k-300k,0-25k,True
Hyundai Verna Fluidic New,Hyundai,2015,11,525000,35000,Diesel,500k-800k,25k-50k,True
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,13,372000,13349,Petrol,300k-500k,0-25k,True
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,10,635000,29000,Petrol,500k-800k,25k-50k,True
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,12,550000,44000,Diesel,500k-800k,25k-50k,True
Maruti Suzuki Ertiga Vxi,Maruti,2016,10,575000,29000,Petrol,500k-800k,25k-50k,True
Maruti Suzuki Ertiga VDi,Maruti,2013,13,485000,42000,Diesel,300k-500k,25k-50k,True
Maruti Suzuki Alto LXi BS III,Maruti,2012,14,155000,14000,Petrol,100k-300k,0-25k,True
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,12,345000,49000,Diesel,300k-500k,25k-50k,True
Honda Amaze 1.2 S i VTEC,Honda,2014,12,325000,42000,Petrol,300k-500k,25k-50k,True
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,14,329500,36200,Diesel,300k-500k,25k-50k,True
Ford Figo Diesel EXI,Ford,2014,12,195000,50000,Diesel,100k-300k,50k-100k,True
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,11,251111,55000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Ertiga ZXi,Maruti,2014,12,569999,45000,Petrol,500k-800k,25k-50k,True
Maruti Suzuki Esteem LXi BS III,Maruti,2007,19,69999,51000,Petrol,0-100k,50k-100k,True
Maruti Suzuki Ritz VXI,Maruti,2014,12,299999,19000,Petrol,100k-300k,0-25k,True
Maruti Suzuki Dzire,Maruti,2009,17,220000,46000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Ritz LDi,Maruti,2013,13,399999,33000,Diesel,300k-500k,25k-50k,True
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,13,372000,13349,Petrol,300k-500k,0-25k,True
Maruti Suzuki Dzire VDI,Maruti,2015,11,450000,104000,Diesel,300k-500k,100k+,True
Toyota Etios Liva G,Toyota,2014,12,270000,55000,Petrol,100k-300k,50k-100k,True
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,15,350000,33333,Diesel,300k-500k,25k-50k,True
Chevrolet Spark,Chevrolet,2012,14,158400,33600,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,9,350000,5600,Petrol,300k-500k,0-25k,True
Nissan Micra XV,Nissan,2011,15,179000,41000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Swift,Maruti,2007,19,125000,70000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Alto 800,Maruti,2018,8,200000,7500,Petrol,100k-300k,0-25k,True
Honda Amaze 1.5 S i DTEC,Honda,2013,13,299000,45000,Diesel,100k-300k,25k-50k,True
Maruti Suzuki Alto 800 Vxi,Maruti,2015,11,220000,38000,Petrol,100k-300k,25k-50k,True
Chevrolet Beat,Chevrolet,2015,11,150000,30000,Petrol,100k-300k,25k-50k,True
Toyota Corolla,Toyota,2009,17,275000,26000,Unknown,100k-300k,25k-50k,True
Honda City 1.5 V MT,Honda,2010,16,285000,35000,Petrol,100k-300k,25k-50k,True
Ford EcoSport Trend 1.5L TDCi,Ford,2016,10,830000,24330,Diesel,800k+,0-25k,True
Hyundai i20 Asta 1.2,Hyundai,2009,17,210000,65480,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,13,340000,41000,Petrol,300k-500k,25k-50k,True
Tata Indica V2 eLS,Tata,2006,20,90000,20000,Petrol,0-100k,0-25k,True
Maruti Suzuki Alto 800 Lxi,Maruti,2018,8,,28028,Petrol,No price,25k-50k,False
Hindustan Motors Ambassador,Hindustan,2000,26,70000,200000,Diesel,0-100k,100k+,True
Toyota Corolla Altis 1.8 GL,Toyota,2010,16,289999,70000,Petrol,100k-300k,50k-100k,True
Toyota Corolla Altis 1.8 J,Toyota,2012,14,349999,59000,Petrol,300k-500k,50k-100k,True
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,14,849999,99000,Diesel,800k+,50k-100k,True
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,12,749999,46000,Diesel,500k-800k,25k-50k,True
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,11,399999,2800,Petrol,300k-500k,0-25k,True
Volkswagen Polo,Volkswagen,2014,12,274999,32000,Petrol,100k-300k,25k-50k,True
Mahindra Scorpio,Mahindra,2015,11,984999,22000,Diesel,800k+,0-25k,True
Renault Duster,Renault,2014,12,449999,50000,Diesel,300k-500k,50k-100k,True
Honda Amaze,Honda,2015,11,344999,22000,Petrol,300k-500k,0-25k,True
Nissan Sunny,Nissan,2012,14,224999,45000,Petrol,100k-300k,25k-50k,True
Hyundai Elite i20,Hyundai,2018,8,599999,21000,Petrol,500k-800k,0-25k,True
Renault Kwid,Renault,2016,10,244999,11000,Petrol,100k-300k,0-25k,True
Renault Duster,Renault,2013,13,399999,41000,Diesel,300k-500k,25k-50k,True
Ford EcoSport,Ford,2017,9,489999,39000,Petrol,300k-500k,25k-50k,True
Renault Duster,Renault,2014,12,474999,50000,Diesel,300k-500k,50k-100k,True
Mahindra Scorpio VLX Airbag,Mahindra,2011,15,499999,66000,Diesel,300k-500k,50k-100k,True
Maruti Suzuki Alto 800 Lxi,Maruti,2018,8,310000,3000,Petrol,300k-500k,0-25k,True
Chevrolet Spark LT 1.0,Chevrolet,2010,16,85000,45000,Petrol,0-100k,25k-50k,True
Datsun Redi GO T O,Datsun,2016,10,245000,7000,Petrol,100k-300k,0-25k,True
Maruti Suzuki Swift RS VDI,Maruti,2010,16,189500,38500,Diesel,100k-300k,25k-50k,True
Fiat Punto Emotion 1.2,Fiat,2012,14,169500,37200,Diesel,100k-300k,25k-50k,True
Maruti Suzuki Swift RS VDI,Maruti,2010,16,159500,43200,Diesel,100k-300k,25k-50k,True
Toyota Etios GD,Toyota,2013,13,275000,24800,Petrol,100k-300k,0-25k,True
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,12,370000,60000,Diesel,300k-500k,50k-100k,True
Hyundai i10 Sportz 1.2,Hyundai,2010,16,168000,45872,Petrol,100k-300k,25k-50k,True
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,15,150000,40000,Diesel,100k-300k,25k-50k,True
Chevrolet Beat LS Diesel,Chevrolet,2011,15,145000,45000,Diesel,100k-300k,25k-50k,True
Chevrolet Beat LT Diesel,Chevrolet,2012,14,98500,38000,Diesel,0-100k,25k-50k,True
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,12,699000,50000,Diesel,500k-800k,50k-100k,True
Tata Indigo CS,Tata,2011,15,85000,11400,Diesel,0-100k,0-25k,True
Toyota Corolla Altis 1.8 J,Toyota,2015,11,575000,42000,Petrol,500k-800k,25k-50k,True
Honda City 1.5 V MT,Honda,2014,12,549000,39000,Petrol,500k-800k,25k-50k,True
Maruti Suzuki Swift VDi,Maruti,2011,15,209000,47000,Diesel,100k-300k,25k-50k,True
Hyundai Eon Era Plus,Hyundai,2013,13,185000,27000,Petrol,100k-300k,25k-50k,True
Mahindra Scorpio S10,Mahindra,2015,11,900000,97200,Diesel,800k+,50k-100k,True
Mahindra XUV500,Mahindra,2014,12,699999,52000,Diesel,500k-800k,50k-100k,True
Honda Brio,Honda,2012,14,224999,30000,Petrol,100k-300k,25k-50k,True
Ford Fiesta,Ford,2011,15,274999,55000,Diesel,100k-300k,50k-100k,True
Honda Amaze,Honda,2013,13,284999,46000,Diesel,100k-300k,25k-50k,True
Honda City,Honda,2015,11,599999,30000,Diesel,500k-800k,25k-50k,True
Maruti Suzuki Wagon R,Maruti,2012,14,199999,44000,Petrol,100k-300k,25k-50k,True
Honda City,Honda,2014,12,544999,45000,Diesel,500k-800k,25k-50k,True
Hyundai i20,Hyundai,2009,17,199000,31000,Petrol,100k-300k,25k-50k,True
Tata Indigo eCS LX TDI BS III,Tata,2016,10,320000,175430,Diesel,300k-500k,100k+,True
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,11,540000,38000,Diesel,500k-800k,25k-50k,True
Mahindra Quanto C8,Mahindra,2013,13,340000,37000,Diesel,300k-500k,25k-50k,True
Fiat Petra ELX 1.2 PS,Fiat,2008,18,75000,65000,Petrol,0-100k,50k-100k,True
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,15,159500,38200,Diesel,100k-300k,25k-50k,True
Mini Cooper S 1.6,Mini,2013,13,1891111,13000,Petrol,800k+,0-25k,True
Hyundai Santro Xing XS,Hyundai,2005,21,49000,7500,Petrol,0-100k,0-25k,True
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,10,700000,3350,Petrol,500k-800k,0-25k,True
Maruti Suzuki Zen VX,Maruti,2000,26,55000,60000,Petrol,0-100k,50k-100k,True
Honda City,Honda,2015,11,448999,54000,Petrol,300k-500k,50k-100k,True
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,9,895000,32000,Petrol,800k+,25k-50k,True
"Tata indigo ecs LX, 201",Tata,,,150000,,Unknown,100k-300k,Unknown,True
Mahindra Scorpio SLX,Mahindra,2007,19,355000,75000,Diesel,300k-500k,50k-100k,True
Mahindra Scorpio SLE BS IV,Mahindra,2012,14,565000,62000,Diesel,500k-800k,50k-100k,True
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,20,365000,73000,Diesel,300k-500k,50k-100k,True
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,15,145000,41000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,15,210000,35000,Petrol,100k-300k,25k-50k,True
Tata Nano Cx BSIV,Tata,2013,13,40000,2200,Petrol,0-100k,0-25k,True
Maruti Suzuki Alto Std BS IV,Maruti,2013,13,125000,39000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,17,135000,45000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Swift VXI BSIII,Maruti,2006,20,135000,45000,Petrol,100k-300k,25k-50k,True
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,14,285000,65000,Diesel,100k-300k,50k-100k,True
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,16,145000,54870,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Alto LXi BS III,Maruti,2010,16,135000,34580,Petrol,100k-300k,25k-50k,True
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,17,450000,97000,Diesel,300k-500k,50k-100k,True
Renault Scala RxL Diesel Travelogue,Renault,2015,11,375000,25000,Diesel,300k-500k,25k-50k,True
Mahindra Quanto C8,Mahindra,2013,13,375000,20000,Diesel,300k-500k,0-25k,True
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,12,365000,20000,Petrol,300k-500k,0-25k,True
Hyundai i20 Active 1.2 SX,Hyundai,2015,11,500000,18000,Petrol,500k-800k,0-25k,True
Mahindra Xylo E4,Mahindra,2012,14,400000,35000,Diesel,300k-500k,25k-50k,True
Mahindra Jeep MM 550 XDB,Mahindra,2019,7,390000,60,Diesel,300k-500k,0-25k,True
Renault Duster 110PS Diesel RxZ,Renault,2012,14,501000,35000,Diesel,500k-800k,25k-50k,True
Mahindra Bolero SLE BS IV,Mahindra,2013,13,330000,80200,Diesel,300k-500k,50k-100k,True
Force Motors Force One LX ABS 7 STR,Force,2015,11,580000,3200,Diesel,500k-800k,0-25k,True
Maruti Suzuki SX4,Maruti,2012,14,265000,46000,Diesel,100k-300k,25k-50k,True
Mahindra Jeep CL550 MDI,Mahindra,2019,7,379000,0,Diesel,300k-500k,0-25k,True
Maruti Suzuki Alto 800,Maruti,2015,11,219000,5000,Petrol,100k-300k,0-25k,True
Mahindra Jeep CL550 MDI,Mahindra,2018,8,385000,588,Diesel,300k-500k,0-25k,True
Toyota Etios,Toyota,2011,15,275000,36000,Diesel,100k-300k,25k-50k,True
Volkswagen Polo,Volkswagen,2015,11,330000,38000,Diesel,300k-500k,25k-50k,True
Honda City ZX VTEC,Honda,2008,18,110000,45000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Wagon R LX BS III,Maruti,2006,20,80000,71200,Petrol,0-100k,50k-100k,True
Honda City VX O MT Diesel,Honda,2016,10,519000,52000,Diesel,500k-800k,50k-100k,True
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,10,730000,29000,Diesel,500k-800k,25k-50k,True
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,11,1475000,47000,Diesel,800k+,25k-50k,True
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,17,699000,47000,Petrol,500k-800k,25k-50k,True
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,11,2000000,20000,Diesel,800k+,0-25k,True
Land Rover Freelander 2 SE,Land,2015,11,2100000,30000,Diesel,800k+,25k-50k,True
Renault Kwid RXT,Renault,2017,9,340000,5000,Petrol,300k-500k,0-25k,True
Tata Aria Pleasure 4X2,Tata,2014,12,390000,35000,Diesel,300k-500k,25k-50k,True
Mercedes Benz B Class B180 Sports,Mercedes,2014,12,1400000,31000,Petrol,800k+,25k-50k,True
Datsun GO T O,Datsun,2016,10,245000,7000,Petrol,100k-300k,0-25k,True
Tata Indigo eCS LX TDI BS III,Tata,2016,10,320000,175430,Diesel,300k-500k,100k+,True
Tata Indigo eCS LX TDI BS III,Tata,2016,10,320000,175400,Diesel,300k-500k,100k+,True
Honda Jazz VX MT,Honda,2016,10,450000,41000,Petrol,300k-500k,25k-50k,True
Honda Amaze 1.2 S i VTEC,Honda,2014,12,311000,33000,Petrol,300k-500k,25k-50k,True
Honda Amaze,Honda,2013,13,284999,46000,Diesel,100k-300k,25k-50k,True
Honda City,Honda,2012,14,399999,45000,Petrol,300k-500k,25k-50k,True
Honda City,Honda,2015,11,599999,39000,Diesel,500k-800k,25k-50k,True
Honda Amaze,Honda,2015,11,344999,22000,Petrol,300k-500k,0-25k,True
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,17,699000,47000,Petrol,500k-800k,25k-50k,True
Force Motors Force One LX ABS 7 STR,Force,2015,11,580000,3200,Diesel,500k-800k,0-25k,True
Mahindra Scorpio S4,Mahindra,2015,11,855000,30000,Diesel,800k+,25k-50k,True
Hyundai i20 Active 1.4L SX O,Hyundai,2015,11,535000,37000,Diesel,500k-800k,25k-50k,True
Mini Cooper S,Mini,2013,13,1891111,13000,Petrol,800k+,0-25k,True
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,9,699000,14000,Petrol,500k-800k,0-25k,True
Chevrolet Tavera Neo,Chevrolet,2013,13,375000,55000,Diesel,300k-500k,50k-100k,True
Honda Amaze,Honda,2013,13,284999,46000,Diesel,100k-300k,25k-50k,True
Hyundai Eon Sportz,Hyundai,2012,14,178000,30000,Petrol,100k-300k,25k-50k,True
Tata Sumo Gold Select Variant,Tata,2013,13,300000,50000,Diesel,300k-500k,50k-100k,True
Maruti Suzuki Wagon R 1.0,Maruti,2003,23,90000,45000,Petrol,0-100k,25k-50k,True
Maruti Suzuki Esteem VXi BS III,Maruti,2006,20,95000,45000,Petrol,0-100k,25k-50k,True
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,11,255000,9300,Petrol,100k-300k,0-25k,True
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,13,245000,55000,Diesel,100k-300k,50k-100k,True
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,14,329500,36200,Diesel,300k-500k,25k-50k,True
Ford Figo Diesel EXI,Ford,2014,12,195000,50000,Diesel,100k-300k,50k-100k,True
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,11,251111,55000,Petrol,100k-300k,50k-100k,True
Maruti Suzuki Ertiga ZXi,Maruti,2014,12,569999,45000,Petrol,500k-800k,25k-50k,True
Maruti Suzuki Esteem LXi BS III,Maruti,2007,19,69999,51000,Petrol,0-100k,50k-100k,True
Maruti Suzuki Ritz VXI,Maruti,2014,12,299999,19000,Petrol,100k-300k,0-25k,True
Maruti Suzuki Dzire,Maruti,2009,17,220000,46000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Ritz LDi,Maruti,2013,13,399999,33000,Diesel,300k-500k,25k-50k,True
Maruti Suzuki SX4 ZXI MT,Maruti,2010,16,249999,36000,Petrol,100k-300k,25k-50k,True
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,11,289999,22000,Petrol,100k-300k,0-25k,True
Mini Cooper S 1.6,Mini,2013,13,1891111,13500,Petrol,800k+,0-25k,True
Nissan Terrano XL D Plus,Nissan,2015,11,499999,60000,Diesel,300k-500k,50k-100k,True
Renault Duster 85 PS RxE Diesel,Renault,2013,13,489999,27000,Diesel,300k-500k,25k-50k,True
Renault Duster 85 PS RxE Diesel,Renault,2014,12,489999,59000,Diesel,300k-500k,50k-100k,True
Renault Duster 85 PS RxL Diesel,Renault,2015,11,549999,19000,Diesel,500k-800k,0-25k,True
Maruti Suzuki Dzire ZXI,Maruti,2013,13,380000,30000,Petrol,300k-500k,25k-50k,True
Renault Kwid RXT Opt,Renault,2018,8,325000,15000,Petrol,300k-500k,0-25k,True
